"UC1";"MaaP";"UC1";"Utente sviluppatore";"L'utente sviluppatore può eseguire dei comandi per generare lo scheletro, inserire il file di descrizione, usare un editor specializzato per scrivere il file di descrizione, utilizzare il file di descrizione e modificare il file di configurazione";"Il sistema è installato e funzionante nel pc in uso";"Il sistema ha ottenuto le informazioni sulle operazioni che l'utente sviluppatore desidera eseguire";" "
"UC1.2.1.2.3";"Definizione numero di Document per pagina";"UC1.2.1.2";"Utente sviluppatore";"L'utente sviluppatore  può definire un numero massimo di Document da visualizzare nella definizione della visualizzazione della pagina Collection-Index";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index predefinita, nella quale non è presente alcun numero massimo di Document definito dall'utente";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index aggiornata con il nuovo numero massimo di Document per pagina definito dall'utente sviluppatore";" "
"UC1.2.1.2.4";"Aggiunta pulsante";"UC1.2.1.2";"Utente sviluppatore";"L'utente sviluppatore può aggiungere un pulsante per modificare la visualizzazione della pagina Collection-Index, specificando l'etichetta e l'azione che deve eseguire";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index aggiornata con il nuovo  pulsante aggiunto dall'utente sviluppatore";" "
"UC1.2.1.3";"Creazione visualizzazione pagina Document-Show";"UC1.2.1.3";"Utente sviluppatore";"L'utente sviluppatore  può creare la descrizione per la visualizzazione della pagina Document-Show e aggiungere varie specifiche al suo interno";"Il sistema contiene la descrizione per la visualizzazione della pagina Document-Show predefinita";"Il sistema ha creato la nuova descrizione per la visualizzazione della pagina Document-Show con le specifiche aggiunte";" "
"UC1.2.1.3.1";"Aggiunta chiave";"UC1.2.1.3.1";"Utente sviluppatore";"L'utente sviluppatore può aggiungere una chiave alla definizione della visualizzazione della pagina Document-Show";"Il sistema contiene la descrizione per la visualizzazione della pagina Document-Show";"Il sistema contiene la descrizione per la visualizzazione della pagina Document-Show aggiornata con la chiave aggiunta dall'utente sviluppatore";" "
"UC1.2.1.3.1.1";"Definizione etichetta chiave";"UC1.2.1.3.1";"Utente sviluppatore";"L'utente sviluppatore può definire un'etichetta per la chiave da visualizzare";"Il sistema contiene la descrizione per la visualizzazione della pagina Document-Show predefinita, nella quale non è specificata nessuna etichetta per la chiave da visualizzare";"Il sistema contiene la descrizione per la visualizzazione della pagina Document-Show aggiornata con l'etichetta relativa alla chiave da visualizzare";" "
"UC1.2.1.3.1.2";"Definizione campo associato alla chiave";"UC1.2.1.3.1";"Utente sviluppatore";"L'utente sviluppatore può definire un campo associato alla chiave da visualizzare";"Il sistema contiene la descrizione per la visualizzazione della pagina Document-Show predefinita, nella quale non è specificato nessun campo per la chiave da visualizzare";"Il sistema contiene la descrizione per la visualizzazione della pagina Document-Show aggiornata con il campo associato alla chiave da visualizzare";" "
"UC1.2.1.3.1.3";"Definizione campo associato alla chiave proveniente da un documento esterno";"UC1.2.1.3.1";"Utente sviluppatore";"L'utente sviluppatore può definire un campo associato alla chiave da visualizzare, proveniente da un documento esterno";"Il sistema contiene la descrizione per la visualizzazione della pagina Document-Show predefinita, nella quale non è specificato nessun campo per la chiave da visualizzare";"Il sistema contiene la descrizione per la visualizzazione della pagina Document-Show aggiornata con il campo associato alla chiave da visualizzare";" "
"UC1.2.1.3.1.4";"Definizione campo associato alla chiave proveniente dal risultato di una query";"UC1.2.1.3.1";"Utente sviluppatore";"L'utente sviluppatore può definire un campo associato alla chiave da visualizzare, proveniente dal risultato di una query";"Il sistema contiene la descrizione per la visualizzazione della pagina Document-Show predefinita, nella quale non è specificato nessun campo per la chiave da visualizzare, la query deve essere definita";"Il sistema contiene la descrizione per la visualizzazione della pagina Document-Show aggiornata con il campo associato alla chiave da visualizzare";" "
"UC1.2.1.3.1.5";"Definizione campo associato alla chiave come trasformazione";"UC1.2.1.3.1";"Utente sviluppatore";"L'utente sviluppatore può definire un campo associato alla chiave da visualizzare come trasformazione";"Il sistema contiene la descrizione per la visualizzazione della pagina Document-Show predefinita, nella quale non è specificato nessun campo per la chiave da visualizzare";"Il sistema contiene la descrizione per la visualizzazione della pagina Document-Show aggiornata con il campo associato alla chiave da visualizzare";" "
"UC1.2.1.3.2";"Aggiunta pulsante";"UC1.2.1.3";"Utente sviluppatore";"L'utente sviluppatore può aggiungere un pulsante per la visualizzazione della pagina Document-Show, specificando l'etichetta e l'azione che deve eseguire";"Il sistema contiene la descrizione per la visualizzazione della pagina Document-Show";"Il sistema contiene la descrizione per la visualizzazione della pagina Document-Show aggiornata con il nuovo pulsante aggiunto dall'utente sviluppatore";" "
"UC1.2.2";"Modifica visualizzazione Collection";"UC1.2.2";"Utente sviluppatore";"L'utente sviluppatore  può impostare la visualizzazione del menù delle Collection, delle pagine Collection-Index e Document-Show";"Il sistema contiene la descrizione per la visualizzazione della Collection";"Il sistema ha aggiornato la descrizione per la visualizzazione della Collection";" "
"UC1.2.2.1";"Impostazioni visualizzazione menù";"UC1.2.2.1";"Utente sviluppatore";"L'utente sviluppatore può modificare, nella descrizione per la visualizzazione del menù della Collection, il nome della Collection e la posizione nel menù principale";"Il sistema contiene la descrizione per la visualizzazione del menù e permette all'utente sviluppatore di modificarla";"Il sistema ha aggiornato la descrizione per la visualizzazione del menù con le modifiche apportate dall'utente sviluppatore";" "
"UC1.2.2.1.1";"Modifica nome";"UC1.2.2.1";"Utente sviluppatore";"L'utente può modificare, nella descrizione per la visualizzazione del menù della Collection, il nome della voce relativa alla Collection";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index";"Il sistema ha aggiornato la descrizione per la visualizzazione del menù delle Collection con il nuovo nome specificato dall'utente sviluppatore";" "
"UC1.2.2.1.2";"Modifica posizione";"UC1.2.2.1";"Utente sviluppatore";"L'utente può modificare, nella descrizione per la visualizzazione del menù della Collection, la posizione della voce relativa al nome della Collection";"L'utente desidera cambiare la posizione della voce nel menù";"Il sistema ha aggiornato la descrizione per la visualizzazione del menù delle Collection con la nuova posizione della voce specificata dall'utente sviluppatore";" "
"UC1.2.2.2";"Impostazioni visualizzazione pagina Collection-Index";"UC1.2.2.2";"Utente sviluppatore";"L'utente sviluppatore  può modificare varie impostazioni della descrizione per la visualizzazione della pagina Collection-Index";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index e permette all'utente sviluppatore di modificarla";"Il sistema contiene la descrizione aggiornata per la visualizzazione della Collection";" "
"UC1.2.2.2.1";"Elimina chiave";"UC1.2.2.2";"Utente sviluppatore";"L'utente sviluppatore  può eliminare una chiave dalla descrizione per la visualizzazione della pagina Collection-Index";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index, la quale contiene almeno una chiave da visualizzare";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index aggiornata con la chiave eliminata dall'utente sviluppatore";" "
"UC1.2.2.2.2";"Elimina ordinamento";"UC1.2.2.2";"Utente sviluppatore";"L'utente sviluppatore  può eliminare un ordinamento rispetto a una chiave dalla descrizione per la visualizzazione della pagina Collection-Index";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index, la quale contiene un ordinamento rispetto una chiave definito dall'utente sviluppatore";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index aggiornata con l'ordinamento eliminato dall'utente sviluppatore";" "
"UC1.2.2.2.3";"Modifica numero massimo di Document";"UC1.2.2.2";"Utente sviluppatore";"L'utente sviluppatore  può modificare il numero massimo di Document da visualizzare per la pagina Collection-Index dalla descrizione per la visualizzazione della pagina Collection-Index";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index, nella quale è presente un numero massimo di Document definito dall'utente";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index aggiornata con il numero massimo di Document per pagina modificato dall'utente sviluppatore";" "
"UC1.2.2.2.4";"Elimina numero massimo di Document";"UC1.2.2.2";"Utente sviluppatore";"L'utente sviluppatore  può eliminare il numero massimo di Document da visualizzare dalla descrizione per la visualizzazione della pagina Collection-Index";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index, nella quale è presente un numero massimo di Document definito dall'utente";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index aggiornata con il numero massimo di Document per pagina eliminato dall'utente sviluppatore";" "
"UC1.2.2.2.5";"Elimina pulsante";"UC1.2.2.2";"Utente sviluppatore";"L'utente sviluppatore  può eliminare un pulsante da visualizzare nella pagina Collection-Index";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index, nella quale è presente un pulsante definito dall'utente";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index aggiornata con il pulsante eliminato dall'utente sviluppatore";" "
"UC1.2.2.3";"Impostazioni visualizzazione pagina Document-Show";"UC1.2.2.3";"Utente sviluppatore";"L'utente sviluppatore  può modificare la descrizione per la visualizzazione della pagina Document-Show e varie specifiche al suo interno";"Il sistema contiene la descrizione per la visualizzazione della pagina Document-Show";"Il sistema contiene la descrizione aggiornata per la visualizzazione della Collection";" "
"UC1.2.2.3.1";"Elimina chiave";"UC1.2.2.3";"Utente sviluppatore";"L'utente sviluppatore  può eliminare una chiave  dalla descrizione per la visualizzazione della pagina Document-Show";"Il sistema contiene la descrizione per la visualizzazione della pagina Document-Show, la quale contiene almeno una chiave da visualizzare";"Il sistema contiene la descrizione per la visualizzazione della pagina Document-Show aggiornata con la chiave eliminata dall'utente sviluppatore";" "
"UC1.2.2.3.2";"Elimina pulsante";"UC1.2.2.3";"Utente sviluppatore";"L'utente sviluppatore può eliminare un pulsante dalla descrizione per la visualizzazione della pagina Document-Show";"Il sistema contiene la descrizione per la visualizzazione della pagina Document-Show, la quale contiene almeno un pulsante";"Il sistema contiene la descrizione per la visualizzazione della pagina Document-Show aggiornata il pulsante eliminato dall'utente sviluppatore";" "
"UC1.2.3";"Aggiunta query";"UC1.2";"Utente sviluppatore";"L'utente sviluppatore può aggiungere una query";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index e Document-Show";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index e Document-Show aggiornata con la definizione della query personalizzata";" "
"UC1.2.4";"Eliminazione query";"UC1.2";"Utente sviluppatore";"L'utente sviluppatore può eliminare una query precedentemente definita";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index e Document-Show ed è presente almeno la definizione di una query";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index e Document-Show aggiornata";" "
"UC1.3";"Modifica file di configurazione";"UC1.3";"Utente sviluppatore";"L'utente sviluppatore  può modificare varie impostazioni dei file di configurazione";"Il sistema ha creato lo scheletro del progetto e permette all'utente sviluppatore di modificare i file di configurazione";"Il sistema ha aggiornato il file di configurazione";" "
"UC1.3.1";"Abilitazione registrazione";"UC1.3";"Utente sviluppatore";"L'utente sviluppatore può abilitare o disabilitare la registrazione alle pagine web generate da MaaP";"Il sistema contiene il file di configurazione con l'abilitazione della registrazione predefinita";"Il sistema ha aggiornato il file di configurazione con la scelta dell'utente sviluppatore";" "
"UC1.3.2";"Abilitazione creazione Document";"UC1.3";"Utente sviluppatore";"L'utente sviluppatore può abilitare o disabilitare la creazione di Document nel database di analisi";"Il sistema contiene il file di configurazione con l'abilitazione della creazione di Document nel database di analisi";"Il sistema ha aggiornato il file di configurazione con la scelta dell'utente sviluppatore";" "
"UC1.3.3";"Modifica template pagine web";"UC1.3";"Utente sviluppatore";"L'utente sviluppatore pu\'o modificare i template delle pagine web";"Il sistema contiene le directory di descrizione delle pagine web";"Il sistema ha aggiornato i template delle pagine web con le modifiche apportate dall'utente sviluppatore";" "
"UC1.3.4";"Specifica database di analisi";"UC1.3";"Utente sviluppatore";"L'utente sviluppatore può specificare i dati necessari alla connessione del database di analisi";"Il sistema contiene il file di configurazione per la connessione a un database di analisi";"Il sistema contiene le informazioni per connettersi a un database di analisi";" "
"UC1.3.5";"Abilitazione creazione indici";"UC1.3";"Utente sviluppatore";"L'utente sviluppatore può abilitare o disabilitare la creazione di indici nelle pagine web generate da MaaP";"Il sistema contiene il file di configurazione con l'abilitazione per la creazione di indici";"Il sistema ha aggiornato il file di configurazione con la scelta dell'utente sviluppatore";" "
"UC1.4";"Utilizzo editor specializzato";"UC1.4";"Utente sviluppatore";"L'utente sviluppatore può utilizzare un editor specializzato per scrivere il file di descrizione";"Il sistema ha creato lo scheletro del progetto e contiene un editor specializzato che può essere utilizzato dall'utente sviluppatore";"Il sistema consente all'utente sviluppatore di scrivere con l'editor specializzato";" "
"UC1.4.1";"Creazione file di descrizione";"UC1.4.1";"Utente sviluppatore";"L'utente sviluppatore può utilizzare un editor specializzato per creare un file di descrizione";"Il sistema ha creato lo scheletro del progetto";"Il sistema ha ottenuto il contenuto relativo al file di descrizione che l'utente sviluppatore ha scritto ed ha salvato il file di descrizione in modo permanente";" "
"UC1.4.1.1";"Scrittura file di descrizione";"UC1.4.1";"Utente sviluppatore";"L'utente sviluppatore può utilizzare un editor specializzato per scrivere un file di descrizione";"Il sistema propone all'utente una schermata per scrivere il file di descrizione";"Il sistema conosce il contenuto del file scritto dall'utente sviluppatore";" "
"UC1.4.1.2";"Salvataggio file di descrizione";"UC1.4.1";"Utente sviluppatore";"L'utente sviluppatore può salvare in modo permanente il file di descrizione scritto precedentemente";"Il sistema conosce il contenuto del file scritto dall'utente sviluppatore";"Il sistema ha salvato il file di descrizione in modo permanente";" "
"UC1.4.2";"Modifica file di descrizione";"UC1.4.2";"Utente sviluppatore";"L'utente sviluppatore può modificare un file di descrizione presente nel sistema";"Il sistema ha creato lo scheletro del progetto e l'utente sviluppatore ha selezionato un file di descrizione da modificare";"Il sistema ha ottenuto le informazione relative alle azioni che l'utente sviluppatore desidera eseguire. Se l'utente sviluppatore ha scelto di salvare le modifiche apportate, il sistema salva tali informazioni in modo permanente sovrascrivendo il file di descrizione originario";" "
"UC1.4.2.1";"Modifica del codice del file di descrizione";"UC1.4.2";"Utente sviluppatore";"L'utente sviluppatore può modificare il codice del file di descrizione";"Il sistema propone all'utente una schermata per modificare il codice del file di descrizione";"Il sistema possiede il contenuto del testo scritto dall'utente sviluppatore";" "
"UC1.4.2.2";"Salvataggio delle modifiche del file di descrizione";"UC1.4.2";"Utente sviluppatore";"L'utente sviluppatore può modificare in modo permanente le modifiche apportate al file di descrizione";"Il sistema conosce il contenuto del testo scritto dall'utente sviluppatore";"Il sistema ha salvato in modo permanente le modifiche apportate al file di descrizione, sovrascrivendo il file di descrizione originario";" "
"UC1.4.2.3";"Annullamento delle modifiche";"UC1.4.2";"Utente sviluppatore";"L'utente sviluppatore può annullare le modifiche apportate al contenuto del file di descrizione";"Il sistema conosce il contenuto del testo scritto dall'utente sviluppatore";"Il sistema ignora le modifiche apportate al contenuto del file di descrizione, e non sovrascrive il file originario";" "
"UC1.5";"Inserimento file di descrizione";"UC1";"Utente sviluppatore";"L'utente sviluppatore può inserire il file di descrizione nel progetto";"Il sistema ha creato lo scheletro di un nuovo progetto";"Il sistema contiene il file di descrizione";" "
"UC1.6";"Eliminazione progetto";"UC1";"Utente sviluppatore";"L'utente sviluppatore può eliminare un progetto";"Il sistema contiene almeno un progetto precedentemente creato";"Il sistema ha eliminato il progetto specificato dall'utente sviluppatore";" "
"UC1.7";"Clonazione progetto";"UC1";"Utente sviluppatore";"L'utente sviluppatore può clonare un progetto";"Il sistema contiene almeno un progetto precedentemente creato";"Il sistema ha creato un nuovo progetto clonandolo da un progetto esistente specificato dall'utente sviluppatore";" "
"UC1.6";"Eliminazione progetto";"UC1";"Utente sviluppatore";"L'utente sviluppatore può eliminare un progetto";"Il sistema contiene almeno un progetto precedentemente creato";"Il sistema ha eliminato il progetto specificato dall'utente sviluppatore";" "
"UC1.7";"Clonazione progetto";"UC1";"Utente sviluppatore";"L'utente sviluppatore può clonare un progetto";"Il sistema contiene almeno un progetto precedentemente creato";"Il sistema ha creato un nuovo progetto clonandolo da un progetto esistente specificato dall'utente sviluppatore";" "
"UC2";"MaaP's Web";"UC2";"Utente business, Utente business autenticato";"L'utente business attraverso il browser visualizza la pagina di autenticazione dove può accedere, recuperare la password o registrarsi, mentre l'utente business autenticato può aprire una Collection, disconnettersi o gestire il profilo";"Il sistema ha creato lo scheletro del progetto, la pagina di autenticazione viene proposta all'utente business mediante il browser";"Il sistema ha memorizzato le informazioni inserite dall'utente business per l'autenticazione o per il recupero password e le operazioni che l'utente business autenticato può effettuare";" "
"UC2.1";"Registrazione";"UC2.1";"Utente business";"L'utente business può registrarsi";"Il sistema si trova nello stato iniziale e propone all'utente una schermata per registrarsi";"Il sistema ha creato un nuovo utente e reputa l'utente business autenticato";" "
"UC2.1.1";"Inserimento email";"UC2.1";"Utente business";"L'utente business può inserire l'email per la registrazione";"Il sistema si trova nello stato iniziale e propone all'utente una casella per inserire l'email";"Il sistema ha ottenuto la mail inserita dall'utente business";" "
"UC2.1.2";"Inserimento password";"UC2.1";"Utente business";"L'utente business può inserire la password per la registrazione";"Il sistema si trova nello stato iniziale e propone all'utente una casella per inserire la password";"Il sistema ha ottenuto la password inserita dall'utente business";" "
"UC2.2";"Autenticazione";"UC2.2";"Utente business";"Un utente business tenta di autenticarsi";"Il sistema si trova nello stato iniziale e propone all'utente una schermata per inserire i dati per l'autenticazione";"Il sistema reputa l'utente business come autenticato";" "
"UC2.2.1";"Inserimento email";"UC2.2";"Utente business";"L'utente business può inserire l'email per l'autenticazione";"Il sistema si trova nello stato iniziale e propone all'utente una casella per inserire l'email";"Il sistema ha ottenuto la mail inserita dall'utente business";" "
"UC2.2.2";"Inserimento password";"UC2.2";"Utente business";"L'utente business può inserire la password per l'autenticazione";"Il sistema si trova nello stato iniziale e propone all'utente una casella per inserire la password";"Il sistema ha ottenuto la password inserita dall'utente business";" "
"UC2.3";"Recupero password";"UC2.3";"Utente business";"Un utente business registrato recupera la password dimenticata";"Il sistema  reputa l'utente business come registrato";"Il sistema ha fornito la password all'utente business";" "
"UC2.3.1";"Inserimento email";"UC2.3";"Utente business";"L'utente business può inserire l'email per il recupero password";"Il sistema propone all'utente una casella per inserire l'email";"Il sistema ha ottenuto la mail inserita dall'utente business";" "
"UC2.4";"Apertura Collection";"UC2.4";"Utente business autenticato, Utente business autenticato amministratore";"L’ utente business autenticato può effettuare diverse operazioni: visualizzare una pagina Document-Show, modificare la visualizzazione dei Document, disconnettersi dal sistema, navigare tra le pagine della pagina Collection-Index correntemente visualizzata,  gestire il profilo, visualizzare le query più utilizate e creare indici su di esse. L'utente business autenticato amministratore potrà inoltre cancellare o modificare un Document";"Il sistema reputa l'utente business come autenticato e visualizza la Collection";"Il sistema ha ottenuto le informazioni sulle operazioni che l'utente business autenticato o l'utente business autenticato amministratore desidera eseguire";" "
"UC2.4.1";"Visualizzazione pagina Document-Show";"UC2.4";"Utente business autenticato";"L'utente business autenticato visualizza la pagina Document-Show relativa alla chiave selezionata";"Il sistema reputa l'utente business come autenticato e visualizza la Collection scelta";"Viene visualizzata la pagina Document-Show relativa alla chiave selezionata";" "
"UC2.4.1.1";"Visualizzazione Document";"UC2.4.1";"Utente business autenticato";"L'utente business autenticato visualizza il Document relativo alla chiave selezionata";"Il sistema reputa l'utente business come autenticato ed ha ottenuto la chiave relativa al Document da visualizzare";"Viene visualizzato il Document relativo alla chiave selezionata";" "
"UC2.4.1.2";"Eliminazione Document";"UC2.4.1";"Utente business autenticato";"L'utente business autenticato può eliminare il Document che sta visualizzando";"Il sistema reputa l'utente business come autenticato e visualizza il Document precedentemente selezionato";"Il sistema ha eliminato il Document selezionato";" "
"UC2.4.1.3";"Modifica Document";"UC2.4.1";"Utente business autenticato";"L'utente business autenticato può modificare il Document che sta visualizzando";"Il sistema reputa l'utente business come autenticato e visualizza il Document precedentemente selezionato";"Il sistema ha modificato il Document visualizzato";" "
"UC2.4.2";"Modifica visualizzazione dei Document";"UC2.4.2";"Utente business autenticato";"L'utente business autenticato può cambiare la modalità di visualizzazione dei Document";"Il sistema reputa l'utente business come autenticato e visualizza la Collection scelta";"Il sistema ha ottenuto le informazioni sulle operazioni che l'utente business autenticato desidera eseguire ed aggiorna la visualizzazione della pagina";" "
"UC2.4.2.1";"Seleziona criteri per la visualizzazione";"UC2.4.2.1";"Utente business autenticato";"L'utente business autenticato può selezionare dei criteri per cambiare la visualizzazione della lista di Document: cambiare il numero di Document da visualizzare per pagina o cambiare l'ordinamento dei Document secondo una chiave";"Il sistema reputa l'utente business come autenticato e visualizza la Collection scelta";"Il sistema ha ottenuto le informazioni sulle operazioni che l'utente business autenticato desidera eseguire ed aggiorna la visualizzazione della pagina";" "
"UC2.4.2.1.1";"Cambio ordinamento per chiave";"UC2.4.2.1";"Utente business autenticato";"L'utente business autenticato può cambiare l'ordinamento dei documenti visualizzati secondo una chiave";"Il sistema reputa l'utente business come autenticato e visualizza la Collection scelta";"Il sistema aggiorna la visualizzazione della pagina secondo i criteri imposti dall'utente business autenticato";" "
"UC2.4.2.1.2";"Cambio numero di Document da visualizzare per pagina";"UC2.4.2.1";"Utente business autenticato";"L'utente business autenticato può cambiare il numero di Document da visualizzare per pagina";"Il sistema reputa l'utente business come autenticato e visualizza la Collection scelta";"Il sistema aggiorna la visualizzazione del numero di Document per pagina secondo i criteri imposti dall'utente business autenticato";" "
"UC2.4.2.2";"Applicazione filtro";"UC2.4.2";"Utente business autenticato";"L'utente business autenticato può applicare un filtro disponibile nella pagina Collection-Index";"Il sistema reputa l'utente business come autenticato e visualizza la Collection scelta";"Il sistema aggiorna la visualizzazione della pagina secondo i criteri imposti dal filtro applicato";" "
